,RecordID,ZipCode,City,County,State,Latitude,Longitude,TotalPopulation,MedianHomeValue,AverageMedianHomeValue,Total,Region,Coordinates,DominantDemographic,DominantDemographicPercentage
55,56,92657,NEWPORT COAST,ORANGE,CA,33.6021,-117.8308,9342,4615000.0,3741000.0,3741000.0,Central,"(33.6021, -117.8308)",White,82.9
56,57,92660,NEWPORT BEACH,ORANGE,CA,33.639,-117.8752,36100,2919000.0,3620900.0,3620900.0,Central,"(33.639, -117.8752)",White,81.4
57,58,92661,NEWPORT BEACH,ORANGE,CA,33.6025,-117.9022,3279,3936500.0,3620900.0,3620900.0,Central,"(33.6025, -117.9022)",White,81.4
58,59,92662,BALBOA,ORANGE,CA,33.6061,-117.8915,2471,3797000.0,3620900.0,3620900.0,Central,"(33.6061, -117.8915)",White,81.4
59,60,92662,BALBOA ISLAND,ORANGE,CA,33.6061,-117.8915,2471,3797000.0,3620900.0,3620900.0,Central,"(33.6061, -117.8915)",White,81.4
60,61,92662,NEWPORT BEACH,ORANGE,CA,33.6061,-117.8915,2471,3797000.0,3620900.0,3620900.0,Central,"(33.6061, -117.8915)",White,81.4
61,62,92663,NEWPORT BEACH,ORANGE,CA,33.6205,-117.9273,21523,2837000.0,3620900.0,3620900.0,Central,"(33.6205, -117.9273)",White,81.4
62,63,92672,SAN CLEMENTE,ORANGE,CA,33.4241,-117.6119,38872,1662000.0,1618500.0,1618500.0,Southern,"(33.4241, -117.6119)",White,79.1
63,64,92673,SAN CLEMENTE,ORANGE,CA,33.4612,-117.6184,30972,1575000.0,1618500.0,1618500.0,Southern,"(33.4612, -117.6184)",White,79.1
64,65,92675,MISSION VIEJO,ORANGE,CA,33.5004,-117.66,35319,1083000.0,1635000.0,1635000.0,Southern,"(33.5004, -117.66)",White,81.5
65,66,92675,SAN JUAN CAPISTRANO,ORANGE,CA,33.5004,-117.66,35319,1083000.0,1635000.0,1635000.0,Southern,"(33.5004, -117.66)",White,81.5
66,67,92676,MODJESKA,ORANGE,CA,33.7172,-117.6427,1988,881000.0,2239000.0,2239000.0,Southern,"(33.7172, -117.6427)",White,85.7
67,68,92676,MODJESKA CANYON,ORANGE,CA,33.7172,-117.6427,1988,881000.0,2239000.0,2239000.0,Southern,"(33.7172, -117.6427)",White,85.7
68,69,92676,SILVERADO,ORANGE,CA,33.7172,-117.6427,1988,881000.0,2239000.0,2239000.0,Northern,"(33.7172, -117.6427)",White,85.7
69,70,92677,LAGUNA BEACH,ORANGE,CA,33.5331,-117.7008,64608,1371000.0,1619750.0,1619750.0,Southern,"(33.5331, -117.7008)",White,81.5
70,71,92677,LAGUNA NIGUEL,ORANGE,CA,33.5331,-117.7008,64608,1371000.0,1619750.0,1619750.0,Southern,"(33.5331, -117.7008)",White,81.5
71,72,92678,TRABUCO CANYON,ORANGE,CA,33.6605,-117.5903,638,,1383111.111111111,1383111.111111111,Southern,"(33.6605, -117.5903)",White,43.0
72,73,92679,COTO DE CAZA,ORANGE,CA,33.6339,-117.5906,31406,1426000.0,1635000.0,1635000.0,Southern,"(33.6339, -117.5906)",White,81.5
73,74,92679,DOVE CANYON,ORANGE,CA,33.6339,-117.5906,31406,1426000.0,1635000.0,1635000.0,Southern,"(33.6339, -117.5906)",White,81.5
74,75,92679,LAKE FOREST,ORANGE,CA,33.6339,-117.5906,31406,1426000.0,1635000.0,1635000.0,Southern,"(33.6339, -117.5906)",White,81.5
75,76,92679,PORTOLA HILLS,ORANGE,CA,33.6339,-117.5906,31406,1426000.0,1635000.0,1635000.0,Southern,"(33.6339, -117.5906)",White,81.5
